,long,lat,NAME,FOLDERPATH,SYMBOLID,LatRound4,LongRound4,LatLong4,nearest_block,nearest_road
0,103.858333937416,1.3559533317473,CENTRAL EXPRESSWAY,Layers/Expressway_Sliproad,2,1.356,103.8583,"1.356,103.8583",,
1,103.857586091965,1.3561097908108797,CENTRAL EXPRESSWAY,Layers/Expressway_Sliproad,2,1.3561,103.8576,"1.3561,103.8576",,
2,103.86042441572799,1.36816548664505,CENTRAL EXPRESSWAY,Layers/Expressway_Sliproad,2,1.3682,103.8604,"1.3682,103.8604",459,ANG MO KIO AVENUE 10
3,103.85978033741999,1.37228389603645,CENTRAL EXPRESSWAY,Layers/Expressway_Sliproad,2,1.3723,103.8598,"1.3723,103.8598",558,ANG MO KIO AVENUE 10
4,103.85936920079901,1.36913452283533,CENTRAL EXPRESSWAY,Layers/Expressway_Sliproad,2,1.3691,103.8594,"1.3691,103.8594",564,ANG MO KIO AVENUE 3
5,103.860451559183,1.36931758934421,CENTRAL EXPRESSWAY,Layers/Expressway_Sliproad,2,1.3693,103.8605,"1.3693,103.8605",564,ANG MO KIO AVENUE 3
6,103.85893736615101,1.37666399773765,CENTRAL EXPRESSWAY,Layers/Expressway_Sliproad,2,1.3767,103.8589,"1.3767,103.8589",547,ANG MO KIO AVENUE 10
7,103.85973726388599,1.3768991290614798,CENTRAL EXPRESSWAY,Layers/Expressway_Sliproad,2,1.3769,103.8597,"1.3769,103.8597",,
8,103.85870132840999,1.37762417001705,CENTRAL EXPRESSWAY,Layers/Expressway_Sliproad,2,1.3776,103.8587,"1.3776,103.8587",,
9,103.857827864162,1.3899860252144,CENTRAL EXPRESSWAY,Layers/Expressway_Sliproad,2,1.39,103.8578,"1.39,103.8578",,
10,103.857897246357,1.3907109500482402,CENTRAL EXPRESSWAY,Layers/Expressway_Sliproad,2,1.3907,103.8579,"1.3907,103.8579",,
11,103.857897246357,1.3907109500482402,CENTRAL EXPRESSWAY,Layers/Expressway_Sliproad,2,1.3907,103.8579,"1.3907,103.8579",,
12,103.856671578357,1.39141678433829,CENTRAL EXPRESSWAY,Layers/Expressway_Sliproad,2,1.3914,103.8567,"1.3914,103.8567",,
13,103.858111700923,1.39113328760861,CENTRAL EXPRESSWAY,Layers/Expressway_Sliproad,2,1.3911,103.8581,"1.3911,103.8581",,
14,103.85515989717699,1.4017365970772901,CENTRAL EXPRESSWAY,Layers/Expressway_Sliproad,2,1.4017,103.8552,"1.4017,103.8552",,
15,103.971489908351,1.32369026469379,CHANGI COAST ROAD,Layers/Expressway_Sliproad,2,1.3237,103.9715,"1.3237,103.9715",,
16,103.96891942629699,1.3441085285851202,CHANGI NORTH CRESCENT,Layers/Expressway_Sliproad,2,1.3441,103.9689,"1.3441,103.9689",,
17,103.96875494855499,1.34493598734018,CHANGI NORTH CRESCENT,Layers/Expressway_Sliproad,2,1.3449,103.9688,"1.3449,103.9688",,
18,103.971127281015,1.34088120701498,CHANGI SOUTH AVENUE 3,Layers/Expressway_Sliproad,2,1.3409,103.9711,"1.3409,103.9711",,
19,103.83780060369301,1.28570744444278,CHIN SWEE ROAD,Layers/Expressway_Sliproad,2,1.2857,103.8378,"1.2857,103.8378",13,YORK HILL
20,103.741790525951,1.3861348896376398,CHOA CHU KANG DRIVE,Layers/Expressway_Sliproad,2,1.3861,103.7418,"1.3861,103.7418",433,CHOA CHU KANG AVENUE 4
21,103.742159862073,1.3853567927505401,CHOA CHU KANG DRIVE,Layers/Expressway_Sliproad,2,1.3854,103.7422,"1.3854,103.7422",307,CHOA CHU KANG AVENUE 4
22,103.745278217239,1.3887241500042702,CHOA CHU KANG DRIVE,Layers/Expressway_Sliproad,2,1.3887,103.7453,"1.3887,103.7453",704,CHOA CHU KANG STREET 53
23,103.742080239814,1.38635394303608,CHOA CHU KANG DRIVE,Layers/Expressway_Sliproad,2,1.3864,103.7421,"1.3864,103.7421",307,CHOA CHU KANG AVENUE 4
24,103.745278217239,1.3887241500042702,CHOA CHU KANG DRIVE,Layers/Expressway_Sliproad,2,1.3887,103.7453,"1.3887,103.7453",704,CHOA CHU KANG STREET 53
25,103.745864509731,1.38994164538156,CHOA CHU KANG DRIVE,Layers/Expressway_Sliproad,2,1.3899,103.7459,"1.3899,103.7459",704,CHOA CHU KANG STREET 53
26,103.74960848967699,1.38976353556826,CHOA CHU KANG DRIVE,Layers/Expressway_Sliproad,2,1.3898,103.7496,"1.3898,103.7496",707,CHOA CHU KANG STREET 53
27,103.745864509731,1.38994164538156,CHOA CHU KANG DRIVE,Layers/Expressway_Sliproad,2,1.3899,103.7459,"1.3899,103.7459",704,CHOA CHU KANG STREET 53
28,103.817510999261,1.3321915150660901,LORNIE HIGHWAY,Layers/Expressway_Sliproad,2,1.3322,103.8175,"1.3322,103.8175",,
29,103.82204802507299,1.33669498435499,LORNIE HIGHWAY,Layers/Expressway_Sliproad,2,1.3367,103.822,"1.3367,103.822",,
